CustomerID,Gender,Age,AgeGroup,Country,City,SignupDateKey,CustomerSegment
1,Male,35,35-44,France,Toulouse,20250123,New
2,Female,24,18-24,Austria,Innsbruck,20250911,New
3,Female,31,25-34,Netherlands,The Hague,20251219,New
4,Female,46,45-54,Spain,Seville,20240630,Returning
5,Female,67,65+,Germany,Cologne,20250225,Returning
6,Female,69,65+,Germany,Stuttgart,20251020,New
7,Female,36,35-44,Germany,Munich,20250328,Returning
8,Male,22,18-24,Belgium,Ghent,20240719,Returning
9,Female,58,55-64,Spain,Valencia,20250805,Returning
10,Male,67,65+,Netherlands,Utrecht,20240124,Returning
11,Male,62,55-64,Germany,Stuttgart,20250516,Returning
12,Female,22,18-24,Switzerland,Zurich,20241201,VIP
13,Male,69,65+,Belgium,Brussels,20251011,Returning
14,Female,32,25-34,Germany,Frankfurt,20250413,Returning
15,Male,43,35-44,Germany,Berlin,20240528,Returning
16,Female,41,35-44,Germany,Berlin,20250729,VIP
17,Female,36,35-44,France,Marseille,20240520,New
18,Male,37,35-44,Italy,Naples,20240903,Returning
19,Male,60,55-64,Italy,Turin,20240311,Returning
20,Female,26,25-34,France,Marseille,20250126,New
21,Female,70,65+,Spain,Seville,20240904,VIP
22,Male,45,45-54,Germany,Cologne,20240414,New
23,Male,33,25-34,France,Paris,20240221,New
24,Female,28,25-34,France,Marseille,20240914,Returning
25,Female,51,45-54,Italy,Rome,20250429,New
26,Male,42,35-44,Netherlands,Utrecht,20250209,New
27,Male,57,55-64,Germany,Berlin,20250922,VIP
28,Male,38,35-44,Italy,Rome,20240104,New
29,Female,22,18-24,Spain,Madrid,20250717,New
30,Male,28,25-34,Germany,Stuttgart,20250101,New
31,Female,60,55-64,Spain,Bilbao,20240107,Returning
32,Male,26,25-34,Germany,Berlin,20240101,New
33,Male,28,25-34,Germany,Hamburg,20241204,New
34,Female,54,45-54,Austria,Graz,20251128,New
35,Male,58,55-64,Switzerland,Geneva,20251202,New
36,Female,18,18-24,Belgium,Bruges,20241215,VIP
37,Female,43,35-44,France,Paris,20250917,Returning
38,Female,27,25-34,Germany,Hamburg,20251206,Returning
39,Male,57,55-64,Spain,Seville,20240224,Returning
40,Female,36,35-44,Italy,Milan,20250920,Returning
41,Female,33,25-34,Germany,Munich,20240926,New
42,Female,62,55-64,Italy,Florence,20240928,New
43,Male,54,45-54,Germany,Berlin,20250305,New
44,Female,67,65+,Austria,Innsbruck,20250111,Returning
45,Male,58,55-64,France,Nice,20250121,VIP
46,Male,21,18-24,Spain,Valencia,20250901,New
47,Female,31,25-34,France,Marseille,20250121,VIP
48,Male,47,45-54,Italy,Naples,20240617,VIP
49,Female,24,18-24,Italy,Turin,20240605,Returning
50,Female,29,25-34,Germany,Hamburg,20250227,New
51,Female,41,35-44,Switzerland,Zurich,20251021,Returning
52,Female,56,55-64,Netherlands,Utrecht,20241003,New
53,Male,60,55-64,Austria,Vienna,20240527,New
54,Male,39,35-44,Austria,Vienna,20240331,New
55,Male,64,55-64,Spain,Madrid,20250709,New
56,Male,47,45-54,Austria,Linz,20240423,New
57,Female,56,55-64,Germany,Munich,20250823,Returning
58,Female,37,35-44,Germany,Hamburg,20240102,VIP
59,Female,43,35-44,Germany,Munich,20250515,New
60,Male,66,65+,France,Marseille,20240619,New
61,Female,22,18-24,France,Paris,20250316,New
62,Male,57,55-64,France,Lyon,20250822,New
63,Male,59,55-64,Belgium,Leuven,20240812,Returning
64,Male,23,18-24,France,Marseille,20240526,New
65,Female,70,65+,France,Marseille,20250824,VIP
66,Female,51,45-54,Italy,Florence,20250323,Returning
67,Female,22,18-24,Germany,Berlin,20250305,New
68,Male,27,25-34,Belgium,Antwerp,20251111,New
69,Female,45,45-54,Germany,Berlin,20241118,New
70,Male,20,18-24,Switzerland,Bern,20240331,New
71,Other,30,25-34,Netherlands,Utrecht,20240114,New
