ReturnID,SalesID,OrderID,ReturnDateKey,ReturnReason,ReturnStatus,RefundAmount
1,10,3,20240224,Changed mind,Approved,0.0
2,13,5,20240925,Damaged,Refunded,249.9
3,35,15,20240630,Not as expected,Refunded,139.89
4,41,17,20250826,Changed mind,Refunded,143.57
5,58,22,20240328,Missing parts,Approved,0.0
6,63,24,20240308,Defective,Refunded,223.84
7,77,30,20240731,Damaged,Refunded,142.24
8,88,35,20240914,Changed mind,Refunded,72.5
9,98,40,20250102,Missing parts,Refunded,213.82
10,103,41,20240302,Changed mind,Refunded,48.33
11,104,41,20240220,Damaged,Approved,0.0
12,107,41,20240309,Damaged,Refunded,261.41
13,115,45,20250605,Changed mind,Approved,0.0
14,137,54,20250602,Damaged,Refunded,294.6
15,138,55,20250414,Size/Fit,Refunded,198.77
16,156,61,20240923,Changed mind,Refunded,121.94
17,167,65,20240526,Damaged,Refunded,107.55
18,168,66,20240922,Missing parts,Approved,0.0
19,171,67,20240903,Size/Fit,Refunded,359.03
20,181,69,20250116,Damaged,Refunded,14.55
21,182,70,20250418,Not as expected,Approved,0.0
22,195,77,20250519,Allergic reaction,Refunded,76.62
23,204,80,20250210,Missing parts,Refunded,173.09
24,206,80,20250216,Missing parts,Refunded,228.38
25,210,81,20250212,Not as expected,Refunded,18.66
26,224,85,20241227,Not as expected,Refunded,49.25
27,226,85,20241219,Not as expected,Refunded,634.41
28,233,87,20250511,Late delivery,Approved,0.0
29,243,92,20251213,Not as expected,Pending,0.0
30,251,95,20250412,Damaged,Refunded,104.7
31,263,101,20241122,Changed mind,Refunded,62.3
32,266,102,20240502,Size/Fit,Approved,0.0
33,269,104,20240514,Not as expected,Refunded,143.04
34,302,118,20250504,Defective,Refunded,219.69
35,309,120,20240228,Defective,Refunded,320.28
36,324,125,20250807,Changed mind,Refunded,41.05
37,326,126,20250910,Allergic reaction,Refunded,40.73
38,328,126,20250823,Changed mind,Refunded,105.87
39,332,128,20241213,Changed mind,Approved,0.0
40,333,128,20241220,Damaged,Refunded,51.98
41,336,129,20240428,Not as expected,Refunded,126.5
42,339,130,20241114,Damaged,Refunded,68.57
43,340,130,20241117,Damaged,Refunded,10.55
44,341,131,20240908,Late delivery,Refunded,51.93
45,349,135,20250730,Changed mind,Refunded,76.59
46,350,135,20250723,Changed mind,Refunded,430.26
47,354,138,20240318,Size/Fit,Refunded,53.05
48,368,145,20240512,Changed mind,Refunded,122.09
49,375,147,20240717,Changed mind,Refunded,80.64
50,382,148,20251106,Damaged,Approved,0.0
51,393,152,20251231,Damaged,Refunded,39.29
52,397,153,20250321,Changed mind,Refunded,15.59
53,400,154,20240727,Changed mind,Refunded,254.71
54,409,158,20250807,Missing parts,Refunded,30.95
55,411,159,20251216,Damaged,Approved,0.0
56,416,161,20251231,Damaged,Refunded,24.64
57,419,163,20250516,Damaged,Refunded,32.18
58,425,164,20240405,Changed mind,Refunded,144.21
59,430,165,20240604,Changed mind,Refunded,196.68
60,446,171,20240706,Damaged,Refunded,235.46
61,451,173,20250408,Changed mind,Refunded,115.0
62,465,177,20240211,Late delivery,Approved,0.0
63,479,182,20240726,Allergic reaction,Refunded,102.13
64,493,188,20250101,Defective,Refunded,146.42
65,507,195,20240303,Defective,Refunded,1052.19
66,508,195,20240301,Changed mind,Refunded,60.11
