ProductID,Category,Subcategory,Brand,BaseUnitPrice,EstimatedUnitCost,PriceBand
1,Electronics,Accessories,Nova,120.05,78.28,Premium
2,Electronics,Gaming,Lumo,1062.62,615.68,High-end
3,Grocery,Snacks,Zenith,10.68,7.96,Budget
4,Sports,Outdoor,Ridge,104.99,63.76,Premium
5,Toys,Puzzles,Ridge,49.73,24.97,Mid
6,Toys,Board Games,Zenith,58.34,43.02,Mid
7,Books,Kids,Mira,22.43,16.0,Mid
8,Toys,Puzzles,Solace,37.8,26.34,Mid
9,Fashion,Men,Kora,74.38,38.92,Mid
10,Home,Cleaning,Linea,93.17,66.54,Premium
11,Home,Lighting,Cairo,162.99,117.57,Premium
12,Home,Lighting,Solace,194.23,104.63,Premium
13,Home,Furniture,Cairo,84.6,42.73,Premium
14,Fashion,Men,Linea,54.93,28.88,Mid
15,Electronics,Laptops,Solace,94.02,69.98,Premium
16,Home,Decor,Zenith,305.88,176.05,High-end
17,Electronics,Laptops,Orion,151.76,98.29,Premium
18,Books,Non-fiction,Vela,16.27,8.57,Budget
19,Fashion,Men,Bloom,59.06,40.83,Mid
20,Grocery,Snacks,Nova,28.96,14.46,Mid
21,Beauty,Fragrance,Nova,28.16,16.14,Mid
22,Beauty,Fragrance,Vela,45.28,25.22,Mid
23,Electronics,Gaming,Vela,389.03,205.2,High-end
24,Electronics,Gaming,Zenith,421.21,195.95,High-end
25,Home,Lighting,Fjord,106.53,67.68,Premium
26,Electronics,Audio,Lumo,207.48,148.09,Premium
27,Home,Decor,Fjord,68.8,46.44,Mid
28,Sports,Cycling,Orion,102.88,65.11,Premium
29,Toys,Puzzles,Nova,72.21,44.55,Mid
30,Sports,Outdoor,Ridge,24.73,14.7,Mid
31,Beauty,Makeup,Pulse,38.0,17.35,Mid
32,Electronics,Laptops,Bloom,198.76,113.76,Premium
33,Electronics,Laptops,Fjord,554.17,359.97,High-end
34,Electronics,Audio,Nova,218.76,163.09,Premium
35,Grocery,Pantry,Zenith,9.15,4.95,Budget
36,Home,Lighting,Vela,86.51,58.82,Premium
37,Fashion,Women,Orion,101.09,69.93,Premium
38,Sports,Team Sports,Zenith,48.83,28.85,Mid
39,Books,Kids,Aurum,24.36,16.27,Mid
40,Sports,Cycling,Bloom,94.77,51.54,Premium
41,Electronics,Audio,Nova,126.46,87.06,Premium
42,Books,Fiction,Ridge,17.33,10.67,Budget
43,Home,Furniture,Pulse,121.21,82.61,Premium
44,Grocery,Snacks,Lumo,15.55,8.63,Budget
45,Toys,Kids,Lumo,44.08,26.11,Mid
46,Fashion,Bags,Ridge,34.58,21.62,Mid
47,Beauty,Skincare,Fjord,24.11,14.97,Mid
48,Home,Lighting,Linea,81.9,50.06,Premium
49,Toys,Kids,Solace,45.69,31.11,Mid
50,Books,Non-fiction,Aurum,23.52,13.6,Mid
51,Fashion,Accessories,Solace,57.62,42.84,Mid
52,Books,Kids,Zenith,25.13,17.46,Mid
53,Home,Furniture,Zenith,326.38,244.62,High-end
54,Electronics,Accessories,Bloom,352.31,234.38,High-end
55,Books,Fiction,Ridge,20.71,10.56,Mid
56,Fashion,Women,Pulse,57.72,42.17,Mid
57,Grocery,Snacks,Fjord,12.06,8.37,Budget
58,Electronics,Phones,Linea,85.86,63.47,Premium
59,Sports,Fitness,Zenith,84.21,53.1,Premium
60,Electronics,Accessories,Zenith,237.36,118.98,Premium
61,Beauty,Haircare,Bloom,41.99,21.34,Mid
62,Toys,Action Figures,Vela,22.09,12.24,Mid
63,Sports,Cycling,Atlas,59.62,32.26,Mid
64,Sports,Fitness,Ridge,72.51,41.25,Mid
65,Home,Lighting,Lumo,144.43,85.31,Premium
66,Sports,Outdoor,Orion,39.01,28.63,Mid
67,Grocery,Snacks,Vela,16.96,10.52,Budget
68,Fashion,Shoes,Bloom,66.84,40.88,Mid
69,Beauty,Makeup,Aurum,55.79,40.83,Mid
70,Grocery,Snacks,Atlas,6.25,4.41,Budget
71,Electronics,Gaming,Ridge,325.53,212.97,High-end
72,Sports,Team Sports,Ridge,47.72,21.95,Mid
73,Fashion,Shoes,Mira,21.71,14.06,Mid
74,Fashion,Accessories,Solace,65.86,43.52,Mid
75,Fashion,Accessories,Aurum,62.69,46.03,Mid
76,Sports,Fitness,Linea,183.04,86.27,Premium
77,Grocery,Snacks,Lumo,9.75,5.07,Budget
78,Sports,Fitness,Ridge,197.23,96.84,Premium
79,Home,Furniture,Aurum,38.69,19.96,Mid
80,Electronics,Accessories,Zenith,166.98,76.96,Premium
81,Books,Kids,Orion,21.28,13.01,Mid
82,Home,Furniture,Nova,90.23,47.14,Premium
83,Fashion,Bags,Ridge,74.51,44.87,Mid
84,Electronics,Audio,Cairo,208.19,151.99,Premium
85,Grocery,Pantry,Solace,14.43,6.52,Budget
86,Grocery,Snacks,Fjord,24.53,14.08,Mid
87,Sports,Team Sports,Cairo,46.82,21.83,Mid
88,Fashion,Shoes,Solace,110.3,69.76,Premium
89,Fashion,Bags,Bloom,139.09,71.11,Premium
90,Fashion,Shoes,Lumo,54.55,35.55,Mid
91,Fashion,Shoes,Nova,42.82,24.99,Mid
92,Electronics,Phones,Fjord,322.19,185.06,High-end
93,Home,Lighting,Solace,203.72,112.33,Premium
94,Fashion,Accessories,Zenith,204.23,133.43,Premium
95,Electronics,Phones,Orion,260.3,123.7,High-end
96,Fashion,Shoes,Pulse,38.28,21.22,Mid
97,Grocery,Beverages,Kora,23.53,14.31,Mid
98,Fashion,Shoes,Aurum,70.66,39.86,Mid
99,Home,Lighting,Mira,82.86,50.17,Premium
100,Sports,Team Sports,Fjord,52.55,36.33,Mid
